詞條	中文	音節	釋義	頁數	備註	轉寫者
Summapiel	把東西放在地上，沒有凳子、板子或其他東西	Sum-ma-piel	sinummapiel, sasummapiel, sapilla, sapillan, sinapil. inosapilan, to set down on the ground, without stool, mat, or other article. Pasapil, pinasa pil, papasapil, ipasapilla, ipasapil, ini pasapil, to cause such to be done.	272		凱弘_247-273
Summappa	蔓延	Sum-map-pa	sinum mappa, sasunmapp sappa and Sappaja, sapanni, Sinapanni, inosapanni, to overspread. Pasappa, pi. pa. ipasappaija, ipāsappa, inipasap pa, to cause to be overspread.	272		凱弘_247-273
Summara	為了睡覺而躺下	Sum-ma-ra	sinuumara, Sasummara, sar ra, Sarranni, sinaranni, inisaranni, to lie down in order to sleep. Pasarra, pi. pa. ipăsarra, inipăsarra, inoipăsarra, to cause to lie down to sleep.	272		凱弘_247-273
Summarabsab		Sum-ma-rab-sab	same as summalachkach	273		凱弘_247-273
Sumarammo	綁一捆稻草	Su-ma-ram-mo	si, sa, to plait a rope of straw, i. e. from double. Saramoa, Sa ramoar, &c. Pasaramo, to cause such is be done. Sasûramo, a plaiting. a-asaromo, one who plaits.	273		凱弘_247-273
Sumar-o-asso	沸騰	Su-mar-o-asso	Sinummar-O-asso, SaSu In mar-o-asso, to Seethe. Pasaro asso, pi. ps, sc. to cause to be seethed.	273		凱弘_247-273
Summarp	熊熊燃燒的烈火	Sum-marp	sinum marp, Sasummarp, sarpen, sinarp, inosarpen, the burning And singeing of fire. Pasarp, pinäsarp, papasarp, pasarpa, pasarp, Impasarp, the fire singeing or burning anything.	273		凱弘_247-273
Summarries	繫帶；繫繩子	Sum-mar-ries	si. Sa. Sarriesa, sarriesen, simarries, inosarriesen, to lace, to string. Pasarries, tran. Sarries, thread.	273		凱弘_247-273
Summarroso	變得有霧氣或變得潮濕	Sum-mar-ro-so	sinum marroso, sasummarroso, to grow foggy or damp. Pasarroso, pl. pa. ipasarrosoa, ipûsarroso, imipûsarroso, to cause the same.	273		凱弘_247-273
Smipûsarroso	讓東西變一樣	Smi-pû-sar-ro-so	to cause the same.	273		凱弘_247-273
Summas		Sum-mas	see below under summoso.	273		凱弘_247-273
Summasjien	開一個槽	Sum-mas-jien	siuûmmasjien, sasummasjien, Sasjima, Sasinan, Sinasinan, inosasinan, to notch, to make a notch, to make teeth. Pasasien, pinasasien, papasasien, ipasasina, &c. to cause to be notched. Sasasjien, the notching.	273		凱弘_247-273
*mmaso	游泳	*m_ma_so	sinûmmaso, sasummaso, sasoa, sasoan, sinasoan, inosasoa, to swim. Pasaso, see above in Pa.	274		晴方_274-302
*mmasoom	聚在一起	*m_ma_so_om	sinummasoom, sasummasoom, isasoma, isasoom, inisasoom, inoisûsoom, to join together, so that the ends come together, but not over or in each other. Pasasoom, &c.	274	不確定是不是û (p274)	晴方_274-302
*ḿmasi	攪拌鹽巴	*ḿ_ma_si	sinummasi, sasummasi, sasi, sasian, sinasian, inosasian, to mix salt, as people do in food when it is being cooked, or after it is dressed, but is too insipid. Pasasi, trans. Sasi, salt. nom.	274	不確定是不是ḿ	晴方_274-302
*mmassio	地震	*m_mas_si_o	si. sa. the shaking of the ground. Sasio, nom. earthquake.	274		晴方_274-302
*mmatsat	鍛鐵	*m_mat_sat	sinûmmatsat, sasummatsat, satsatta, satsatten, sinatsat, inosatsatten, to forge, as a smith. Pasatsat, pi. pa. ipûsatsatta, ipasatsat, inipûsatsat, inoipasatsat, to cause to be forged.	274		晴方_274-302
*mmedo	感覺	*m_me_do	sinûmmedo, sasummedo, siddoa, siddóon, siendo, inosiddóon, to feel.	274		晴方_274-302
*mmatta	生吃食物，或單吃食物不配任何東西	*m_mat_ta	sinummatta, sasummatta, summattan, sinummattan, inosummattan, to eat food raw and undressed, or alone and without mixing with other food, (as flesh without rice, or rice without any additions.) Pasummatta, pinasummatta, papasûmmatta, ipasummatta, &c. to cause such to be done.	274		晴方_274-302
Summeal	當間諜監控敵人	Sum_me_al	si. sa. sealla, pass. seûllan,  sineal, inoseûllen, to spy an enemy. Passeal, tran. Saseal, a spying.	275		晴方_274-302
Summeit	捏	Sum_me_it	si. sa. seitta, seitten, sineit, inoseitten, to pinch, to join, i. e. under, as pillik, but between two is lummabit.	275		晴方_274-302
Summerik	壓、擠，或絞乾	Sum_me_rik	sinummerik, sasummerik, sirka, sirken, sinirka, inosirken, to press, squeeze, or wring out. Pûsirk, pi. pa. pinûsirk, papasirk, &c. to cause such to be done. Summerik o loan, to milk the cows.	275		晴方_274-302
Summeto	跛行	Sum_me_to	(the e short) si. sa, sitton, ***toan, sinittoan, inosittoan, to limp, **ûmmotul. Pasito, trans. Sasito, a limping. Ma-asasitto, one who limps.	275	* 處是污漬	晴方_274-302
Summis	縫	Sum_mis	sinummis, sasummis, sissa, ***sen, sinis, inosissan, to sew, also to stitch, in which case it is sissan, **san, inosissan: also to backstitch, in which case it is isis, misis, ino***, **sis, pinasis, papasis, ipasi***, ip***, inipasis, to cause to be sewed.	275		晴方_274-302
Summiksik	扣上鈕扣	Sum_mik_sik	si. sa. siksikka, siksikkan, siniksik, inosiksikken, to button tight, also summiksik. Pasiksik, trańs.**iksik, a buttoning, Ma-asasiksik, one who buttons.	275		晴方_274-302
*mmoal	提醒過去的承諾或債務	*m_mo_al	si. sa. soalla, soûllen, sinoal, *nosoallen, to remind of an old promise or debt. Pasoal, trans.	276		晴方_274-302
*mo-asoap	憑感覺盲目地做某事	*mo-a_so_ap	sinûmmoûsoap, sasûm*oûsoap, soasoûppa, soa-asappen, si*oasoap, inosoasoàp, to do anything blindly and by feeling.	276		晴方_274-302
*mmoat	用鋤頭拔除田裡的雜草	*m_mo_at	sinûmmoat, sasûmmoat, soût-*a, soûtten, sinoat, insoatten, to pull up and remove the weeds with which the *ice fields are covered by means of a *ook or hoe. Pasoat, pinasoat, papaso*t, ipûsoat, inipasoat, inoipà-oat, to cause such to be done.	276		晴方_274-302
*mmogo	將繩子或藤的兩端連結在一起以延長	*m_mo_go	si. sa. imp. sógoa, to bind two ends, as of string, rattan, &c. one over the other and thus to lengthen. Paso-*go, trans.	276		晴方_274-302
*mmokar	推開，或是督促人們或促使他們去做自己有意願的事情	*m_mo_kar	sinummokar, sasummokar, *let the o be scarcely heard) isokarra, *sokar, inisokar, inoisokar, to push away from one. Also to drive on people and urge them to do that which they are disposed to. Summaloso, si. sa. salosoa, salosoan, sinalósoan, ino*alosoan, to drive on and urge. Pasa*o*o, &c. Summekar o chan, to stir up the fire. Pasokar, pinasokar, papasokar, ipûsokarra, ipasokar, inipasokar, inoipasokar, to cause such to be done.	276		晴方_274-302
Summoes	生長；增加；變好	Sum_mo_es	sinûmmoes, sasûmmoes, to grow, to increase, to become great. Pasoes, pinasoes, papasoes, ipasoesa, ipasoes, inipasoes, to cause to grow.	277		晴方_274-302
Summokad	用腳推或踢	Sum_mo_kad	sinûmmokad, sasummokad, sokadda, sokadden, sinokad, inosokadden, to push or kick with the foot. Pasokad, pinasokad, papasokad, ipasokadda, &c. to cause such to be done.	277		晴方_274-302
Summokko	用棍子、撥火棍、劍去推或插某物，或用手指指	Sum_mok_ko	sinummokko, sasummokko, sokkoa, sokkoon, sinokko, inosokkoon, to push or thrust any one with a stick, poker, sword, &c. also to point with the finger. Pasokko, pi. pa. ipasokkoa, ipasokko, &c. to cause to be pushed.	277		晴方_274-302
Summook	用後腳踢	Sum_mo_ok	sinummook, sasummook, soka, soken, sinook, inosoken, to kick with the foot behind. Pasook, pi. pa. ipûsoka, &c to cause such to be done.	277		晴方_274-302
Summokkosokko	頻繁推動、攪動	Sum_mok_ko_sok_ko	sinûmmokkosokko, sasummokkosokko, sokkosokkoa, sokkosokkoon, sinokkosokkoon, inosokko-sokkoon, to push frequently as above, summokkosokko no zido, to churn. Pasokkosokko, inipasokkosokko, inoipasokkosokko, to cause such to be done.	277		晴方_274-302
Summoloch	當雲團密布，越過丘陵，東部雷雨交加時。頻繁發生在東南季風時的傍晚	Sum_mo_loch	sinûmmoloch, sasummoloch, the threatening, drawing together of the clouds, over the hills, when the eastern quarter is set in for rain and thunder, as frequently in the southeast monsoon, takes place towards evening. Pûsoloch, pinûsoloch, papûsoloch, ipa-solocha, ipasoloch, to occasion such.	278		晴方_274-302
Summóoso	跟進、追蹤	Sum_mó_o_so	sinûmmóoso, sasummooso, soossoa, sóossoon, sinosso, inosoossoon, to follow up, to trace. Pû-oosso, pinasoosso, papûsoosso, ipasoossoa, ipasoosso, to cause to be followed up.	278		晴方_274-302
Summopat	反對；做任何相反的事情	Sum_mo_pat	sinummopat, sasummopat, sopatta, sopatten, sinopat, inosopatten, to be over against, to do anything in opposition. Pasopat, pinasopat, papû-sopat, &c. to cause such to be done. Sasopat over againt: this word is joined with karri and mau, as (karri-sasopat) and means to be over against each other: thus karrisasopat patodon, to live opposite to each other. Summapat o meroos, o pattite, to sit or speak one over against the other.	278		晴方_274-302
Summopisop	用手撫摸或撫平	Sum_mo_pi_sop	sinummopisop, sasummopisop, sopisoppa, sopisoppen, sinópisop, to stroke or smooth with the hand, also to level, see Masopisóp. Pasopisop, pi. pa. ipûsopisop, in ipûsopisop, to cause to be stroked.	278		晴方_274-302
Summoppo	就像在田間砍掉稻穀一樣	Sum_mop_po	si. sa. suppoa, to put up in heaps, as is done with the paddy after it is cut down in the field. Pasuppo, to cause such to be done. Suppo, a heap of corn, such as is seen in the fields, in the time of harvest.	279		晴方_274-302
Summoso	烤	Sum_mo_so	sinûmmoso, sasùmmoso, sosoa, sosoon, sinoso, to roast. Pasoso, pi. pa. ipasosoa, to cause to be roasted. Sasoan and sasosoaijan, a roaster or spit with which people roast.	279		晴方_274-302
Summosa	居住	Sum_mo_sa	sinummosa, sasummosa, sósasosanni and sosaijan, inososanni and sinososaijan, inososanni and inososaijan, inososanni and inososaijan, to dwell, to inhabit. Pasosa, pi. pa. ipasosa, &c. to cause to inhabit.	279		晴方_274-302
Sammas	擺放食物	Sam_mas	sinummas, sasummas, s***, sassan, sinas, inosassan, to put food to settle, as people do in a skimming dish. Pasas, pinasas, papasas, ipasassa, &c. to cause to settle.	279		晴方_274-302
Summot	用手、火槍、箭，或劍指向前方	Sum_mot	sinummot, sasummot, sotta, sotten, sinot, inosotten, to point towards, either with the finger, or musket, arrow, sword, &c. Pasot, pinasot, papasot, &c. to cause such to be done.	279		晴方_274-302
Sumpo	幫忙某事	Sum_po	sinûmpo, sasumpo, suppoa, suppoan, sienpon, inosuppoan, to help, to lend a hand in any work, as Molliol. Pasuppo, pi. pa. ipasuppoa, ipasûppo, &c. to cause such to be done.	279		晴方_274-302
Ta	男性專有名詞前方的前綴虛詞	Ta	a particle prefixed to all proper names of men, as Ta Cabba, Ta Bai, &c.	280		晴方_274-302
Ta	領土、土地或住所；普通道路或街道、地面。	Ta	territory, land or dwelling place; the common road or street, the ground.	280		晴方_274-302
Tû-aka-idas	半月	Tû-a_ka-i_das	a half moon.	280		晴方_274-302
Tûan	一個抓野生動物的陷阱	Tû_an	a snare, for catching wild beasts.	280		晴方_274-302
Taamen o rapies	乞求；沒有羞恥地要求任何事情	Ta_a_men o ra_pi_es	tsi. tat. imp. taamen o rapisa, pas. taamen o rapies, tsinaamen o rapies, inotaamen o rapies, to beg, to demand anything without shame, nom. Ma-ataamen o rapies a beggar.	280		晴方_274-302
Tabba	當地的伐木者	Tab_ba	a native chopper. Fr. tummabba.	280		晴方_274-302
Tabboen	成人	Tab_bo_en	full grown, adult.	280		晴方_274-302
Tûbboeron	一個家族	Tûb_bo_er_on	a family sprung from one stock, relations.	280		晴方_274-302
Tûbillo	風笛或小號	Tû_bil_lo	a bag-pipe, or trumpet.	280		晴方_274-302
Tûbtab	下雨時沒有積水的地方	Tûb_tab	a place where no water settles, when it rains. Matabtab, the verb.	280		晴方_274-302
Tûbo	大葫蘆	Tû_bo	a large gourd.	280		晴方_274-302
Tach	濕氣	Tach	moisture, sap. From Matach.	280		晴方_274-302
Tûch-anas	淡水蝦	Tûch-a_nas	shrimps that are taken in fresh water; also teor, a large kind; rauno, a small kind of shrimps, which are found in salt water, Aûan, very small shrimps.	280		晴方_274-302
Tadûch	熱	Ta_dû_ch	heat. From Matadach.	281		晴方_274-302
Taddachal	人們拉下土的工具	Tad_da_chal	an instrument with which people pull down earth	281		晴方_274-302
Taddai	龍脷，一種魚	Tad_da_i	a sole, a sort of fish	281		晴方_274-302
Taddakal	女子佩戴的頭帶	Tad_da_kal	a head band, such as the women wear.	281		晴方_274-302
Taddaries	鎖	Tad_da_ri_es	a lock. From dûmmarri.	281		晴方_274-302
Tûddogon	人或獸的上方部分	Tûd_do_gon	the upper part of a man or beast	281		晴方_274-302
Tagga	血	Tag_ga	blood. From Matagga.	281		晴方_274-302
Taggausasan	一些竹子放在屋內門口上方	Tag_gau_sa_san	certain cross bamboos placed above the entrance of the door of a house, on the inside.	281		晴方_274-302
Taggargar	鐵索	Tag_gar_gar	a cable, from takkat and arrat. See takkar, and gûmmûrgar.	281		晴方_274-302
Taggoggoach	血管	Tag_gog_go_ach	a vein. Compounded of tagga and oggach.	281		晴方_274-302
Taggogon	使口渴	Tag_go_gon	zinûggogon, tataggogon, to thirst. Pataggogan, pinûtaggogan, p*pataggogan, ipûtaggoganna, to cause to thirst. Toggogon, nom. thrist.	281		晴方_274-302
Taikien	一種珠子；深受當地人的推崇	Ta_i_ki_en	a kind of beads, much esteemed by the natives.	281		晴方_274-302
Taitai	螢火蟲	Ta_i_ta_i	a fire-fly.	281		晴方_274-302
Tûkkar	錨，人們在渡口停泊船的柱子	Tûk_kar	an anchor, a post to which people moor a boat at a ferry.	281		晴方_274-302
Tûkkeein	矮人	Tûk_ke_e_in	a dwarf.	281		晴方_274-302
Talcko	極度的；優秀的；極度強大；罕見的熱	Tal_cko	exceeding, excellent, as talcho mabarra, talcho matadach, exceeding strong, uncommonly hot.	281		晴方_274-302
T*hoach-o	精通的人；超過他人的權力、財富、美貌	T*hoach-o	one who excels, or surpasses might, wealth, beauty, &c.	282		晴方_274-302
T*	什麼? 帶有憤慨	T*	what? with indignation. Talla *mmara imónos, what* do you lie * rags?	282		晴方_274-302
T*s	陶瓷碎片	T*s	a pot sherd	282		晴方_274-302
T*	一粒米	T*	o no adda, a grain of rice.	282		晴方_274-302
T*		T*	o noeno, the brain pan: written *lao-n-oeno.	282		晴方_274-302
T*piech	大鏢	T*piech	a large dart.	282		晴方_274-302
T*li	酢漿草	T*li	sorrel.	282		晴方_274-302
T*chon	持續的毅力	T*chon	continual perseverance. Tal-*hon sisa, the whole day. Tûllachon *n, micham, mababat, to be constant-eating, drinking, going, &c.	282		晴方_274-302
T*aian	西班牙痘	T*aian	the Spanish pox.	282		晴方_274-302
T*mimme	馬鈴薯	T*mimme	potatoes.	282		晴方_274-302
T*moes	碎屑；碎片	T*moes	crumbs, fragments.	282		晴方_274-302
T*moesan	崩塌	T*moesan	crumbled.	282		晴方_274-302
T*aas	"表讚美的虛詞，像 ""啊!"""	T*aas	a particle of admiration, as ah! * that!	282		晴方_274-302
T*ch-a	一副馬褲	T*ch-a	a pair of breeches.	282		晴方_274-302
T*rri-parri	手拉車	T*rri-parri	Takeis, a cart. Go-or, or *or. Tateûrraû loan, the poles of a *t. Asasûû loan, the yoke.	282		晴方_274-302
T*s	全部	T*s	all	282		晴方_274-302
T*oesan	蜜蜂	T*oesan	a honey bee.	282		晴方_274-302
T*ara	蜘蛛	T*ara	a spider.	282		晴方_274-302
Tûr	各種污染，例如鼻涕，油脂等	Tûr	all kinds of pollution, as from snot, grease, &c.	283		晴方_274-302
Tarren	焦油污染的任何東西，見下文	Tar_ren	anything defiled with tar, see below.	283		晴方_274-302
Tarra	刺魚，有兩種: 刺魚或長得像鯊魚的魚	Tar_ra	a thornback, of which there are two sorts, tarra boetsina, a thornback: tarra paga aubaas, a fish somewhat resembling the shark, with a broad blotch on the nose.	283		晴方_274-302
Tarrabeoan	彩虹	Tar_ra_be_o_an	or Tarraboan, a rainbow.	283		晴方_274-302
Tarra ie rain	眼睛流下的水	Tar_ra ie ra_in	tsi. tat. the trickling of the eyes. Patarra-ie-ra-ien, transit.	283		晴方_274-302
Tarrakal	一個高高聳立的小木屋，當地人經常在裡面睡覺；位於他們的房屋旁邊或田野中	Tar_ra_kal	a small hut, standing high in which the natives frequently sleep; such as are beside their houses, or in the fields.	283		晴方_274-302
Tarran	道路	Tar_ran	a way; mitarom' o taran, two roads that meet together. Rariedda **ran, a way that divides into two.	283		晴方_274-302
Tarrar	與 tabtab 同	Tar_rar	as tabtab. Verb Matarrar.	283		晴方_274-302
Tarraras	瓷器	Tar_ra_ras	porcelain, china ware.	283		晴方_274-302
Tûrrer	一種魚	Tûr_rer	a sort of fish.	283		晴方_274-302
Tûrribat	東西的傾斜度	Tûr_ri_bat	the obliquity of a thing.	283		晴方_274-302
Tarran	令人討厭的或傷人的	Tar_ran	tsinarran, inotûrran: and **ban, inarriban, inoarriban: and rib**jen, rinibaijen, inoribaijen. Seems ** mean loathsome, or hurtful. Thus people speak of unusual food, arriban o ** macha ja micho. It is possible that it ** injurious or deadly. But these words require to be more carefully examined.	283		晴方_274-302
Tûssaban	使飢餓	Tûs_sa_ban	zinûssaban, inotassaban, to hunger. Pûtassaban, pinûtassaban, pa-pûtassaban, ipûtassabanna, to cause to hunger. Nom. Tassaban, hunger.	284		晴方_274-302
Tassinan	為某人做某事	Tas_si_nan	tsinassinan, inotassinan, tassioa, to do anything for any one. Inatassinan ja rûmmozi-daû tamau, I will pay for my father. In the 2nd and 3rd person people do not say Tassinan, but Tassi. It is necessary that this word be examined. It is to be written tas-ina, just as daû-ina, for me; so also tasi-je, for you; tas-icho, for him. Præt. tsinas. fut. inosas, imp. tas ioa, sie d'r fas joa ina, take my place.	284		晴方_274-302
Tasso	新的和未用過的。指人們習慣使用的所有工具，例如衣服，杯子，餐具等。	Tas_so	that which is new and untried. Is said of all implements, that people are accustomed to use, as clothes, cups, dishes, &c.	284		晴方_274-302
Tûsso	長的，用來指無生命物	Tûs_so	(the o short) long, is only used of lifeless things.	284		晴方_274-302
Tatabbis	扇子	Ta_tab_bis	or boezina, a fan.	284		晴方_274-302
Tûsso	問句後的虛詞	Tûs_so	a particle wherewith people enquire after any place, as dema tassone Doubale, whither does Daubale lead to? Tassono don o Batsjekan, whereabouts are the houses of Batsjekan? Dema tassono Taijoan, which is the way to Taijoan? Tassono aisi, that way.	284		晴方_274-302
Tatûap	人們用於房屋建築或農業的各種工具	Ta_tû_ap	all kinds of implements that people use for house buildings or agriculture.	285		晴方_274-302
Tûtapannabonna	耕地	Tû_ta_pan_na_bon_na	arable land.	285		晴方_274-302
Tûtas	一英尋（測量水深單位，合1.8米或6英尺）	Tû_tas	a fathom.	285		晴方_274-302
Tûtkach	狩獵時圍著鹿的繩子	Tût_kach	the ropes wherewith the deer are encircled in hunting.	285		晴方_274-302
Tatkachannabonna	狩獵場	Tat_kach_an_na_bon_na	hunting ground.	285		晴方_274-302
Tûttabba	用於刺傷的工具，如劍，刀等	Tût_tab_ba	instrument for stabbing, as a sword, knife, &c.	285		晴方_274-302
Tattabbak	跳舞，或是那些將要戰鬥的人的踏步	Tat_tab_bak	a dance, also the trampling of those who are about to fight.	285		晴方_274-302
Tatsibûul	當人們不敢提及令人反感的人時，所用的語帶保留的詞	Tat_si_bû_ul	and a-obog, both words of reserve when people do not dare to mention scandalous persons.	285		晴方_274-302
Tatta	碾米機	Tat_ta	a ricestamper. From tummatta.	285		晴方_274-302
Tûtta o numma	我怎麼知道？	Tût_ta o num_ma	how do I know?	285		晴方_274-302
Tûtaam	答案	Tû_ta_am	an answer. From Tûmmam.	285		晴方_274-302
Tûttabach	第一個；原則	Tût_ta_bach	the first, the principal. Tummabach, and Matattabach, verb to, be the first.	285		晴方_274-302
Tûttachum	帽子	Tût_ta_chum	a cap. From Tummachûm.	285		晴方_274-302
Tattugga	顎骨	Tat_tug_ga	the jawbone.	285		晴方_274-302
Tattaggoch	用來繪圖的工具	Tat_tag_goch	an instrument to draw with.	285		晴方_274-302
Tattachil	from Tûmmachil.	Tat_ta_chil	from Tûmmachil.	285		晴方_274-302
Tattagga	切割工具	Tat_tag_ga	instrument for cutting.	285		晴方_274-302
Tattakka	支柱	Tat_tak_ka	a stanchion. From Tumka.	286		晴方_274-302
Tattakkis	可以用來縫的東西	Tat_tak_kis	anything to stitch with.	286		晴方_274-302
Tattakab	遮蔽物；亭子；繩子	Tat_ta_kab	a covering, a pavilion, a cord.	286		晴方_274-302
Tattatsain	一步	Tat_tat_sain	a step. From tûmmaein.	286		晴方_274-302
Tattallas	人們用來踩的，例如腳	Tat_tal_las	that with which people tread, as the feet. From tummallan.	286		晴方_274-302
Tattas o kokko	梳子	Tat_tas o kok_ko	the comb, &c. of cocks.	286		晴方_274-302
Tatte	魚鉤	Tat_te	a fish hook. From tumme.	286		晴方_274-302
Tattippi	用尾巴叮咬的生物所叮咬的傷口	Tat_tip_pi	the sting of anything that stings with the tail.	286		晴方_274-302
Tattallatala	組成的任何一個	Tat_tal_la_ta_la	that wherewith we compose any one. From Tummalûttala.	286		晴方_274-302
Tattallumtum	人們遮蔽自己以自由出汗	Tat_tal_lum_tum	that wherewith people cover themselves in order to perspire freely. From tummallumtum.	286		晴方_274-302
Tattauraija	害怕	Tat_tau_rai_ja	a frightening.	286		晴方_274-302
Tattear	惡臭	Tat_te_ar	a stenchion. From Tummear.	286		晴方_274-302
Tattamman o bisa o loan	箭桿	Tat_tam_man o bi_sa o lo_an	the shaft of an arrow, the stem of a spit.	286		晴方_274-302
Tattoch	數字	Tat_toch	a number. Masanno attoch, the larger number. From Tûmmoch.	286		晴方_274-302
Tattolillis	火花	Tat_to_lil_lis	a spark. From Tummolillis.	286		晴方_274-302
Tatollo	see tattûllo, below.	Ta_tol_lo	see tattûllo, below.	286		晴方_274-302
Tattorrodauron	鏡子	Tat_tor_ro_dau_ron	a-looking glass.	286		晴方_274-302
Tattorrodon	一個副本、範例	Tat_tor_ro_don	a copy, an example.	286		晴方_274-302
Tattarod	引人注目	Tat_ta_rod	a beholding.	286		晴方_274-302
Tattuppa	想法；回憶	Tat_tup_pa	thought, memory.	286		晴方_274-302
Tatto	人們用來點火的東西	Tat_to	that wherewith people kindle.	286		晴方_274-302
Tatto o telp	鑰匙	Tat_to o telp	a key. Tatto o chirrap, a toothpick. From tûm-o.	287		晴方_274-302
Tatto-oche	食指	Tat_to-oche	the fore finger.	287		晴方_274-302
Tattoob	用來灑水的工具	Tat_toob	an instrument, wherewith ** to sprinkle water. From tummos.	287		晴方_274-302
Tattoos	平台	Tat_toos	a plane. From tûmmoos.	287		晴方_274-302
Tattonnos	東西被折斷或撕裂的末端	Tat_ton_nos	the end where anything is broken off or torn. But especially pr**o extremitate membri virilis id quod e**st inhonestum.	287		晴方_274-302
Tattopoch	戴在耳朵上的裝飾品	Tat_to_poch	the ornaments worn in the ears.	287		晴方_274-302
Tattottoan	由當地人提出的要約；一塊堅硬的石頭	Tat_tot_to_an	an offer, by the natives. a hard stone: from tummotto.	287		晴方_274-302
Tattorrik	謊言	Tat_tor_rik	tattose, and tattosik, a lie. From tummorik, tummose, &c.	287		晴方_274-302
Tattullo	蠟燭	Tat_tul_lo	a candle. From tummollo.	287		晴方_274-302
Tattûltul	一束稻草，人們用來產生煙或是驅除蚊子	Tat_tûl_tul	a wisp of straw, with which people make a smoke, to drive away the musquitos.	287		晴方_274-302
Tattummauku	see tummauka.	Tat_tum_mau_ku	see tummauka.	287		晴方_274-302
Tattuppuk	一個預先計算的數字	Tat_tup_puk	a number reckoned beforehand. From tumpuch.	287		晴方_274-302
Tau	頭髮	Tau	the hair of the head.	287		晴方_274-302
Taugo	一種圓錐形的水果	Tau_go	a sort of fruit, conically shaped.	287		晴方_274-302
Taurok	一種與食物一起煮熟的蔬菜	Tau_rok	a kind of vegetable, which is cooked with the food.	287		晴方_274-302
Tautazillien	小手指	Tau_ta_zil_li_en	the little finger.	287		晴方_274-302
Taz-i	風箏	Taz-i	a kite.	287		晴方_274-302
Tazirra	舌頭	Ta_zir_ra	the tongue.	287		晴方_274-302
T*z-imo	各種準備好的食物，無論是魚還是肉	T*_z-i_mo	all sorts of prepared food, whether fish or flesh.	288		晴方_274-302
T*z-ino	鳥喙	T*_z-i_no	the beak of birds.	288		晴方_274-302
T*z-ipok	用來繪畫的鉛筆	T*_z-i_pok	a pencil to paint with. Taz-ipok o bido, a pen.	288		晴方_274-302
T*zirrisan	用來掛東西的大頭釘或木椿	T*_zir_ri_san	a pin or peg, on which to hang anything.	288		晴方_274-302
T*a	手臂	T*a	an arm.	288		晴方_274-302
T*babon	鴨子	T*_ba_bon	a duck.	288		晴方_274-302
T*es	額頭的上部	T*es	the pole or the upper part of the forehead.	288		晴方_274-302
T*e-o	鸛	T*e-o	a stork.	288		晴方_274-302
T*-te	附有果實的莖，無論是在田間還是已收穫的	T*-te	a stalk, to which the fruit is attached, whether standing in the field, or already reaped.	288		晴方_274-302
T*ter	打每一個人	T*ter	is said of thous who strike every one. Eirreken, idem. Written teteen.	288		晴方_274-302
T*llabien	一種魚，叫做石鯛	T*l_la_bien	a sort of fish, called stone bream.	288		晴方_274-302
T*lli	獾	T*l_li	a badger.	288		晴方_274-302
T*llik	一隻眼睛失明，因此看不到眼白	T*l_lik	blindness of one eye, so that the white of the eye cannot be seen. for then it is tollas.	288		晴方_274-302
T*llikken	一隻眼睛失明的人	T*l_lik_ken	one who is blind of one eye, this is the præs. from tummillik.	288		晴方_274-302
T*nnaam	某地點之前	T*n_na_am	before, with respect to place. Talla zummada zinoe, ka oa tinnûam ai, what do you seek, it lies there before you. Matatinnûan, mi. ma. forwards. Patatinnûam, trans.	288		晴方_274-302
To	水	To	water.	289		晴方_274-302
To oetas	雨水	To o_e_tas	rain water.	289		晴方_274-302
To sabba	河水	To sab_ba	river water.	289		晴方_274-302
To cha-och	井水	To cha-och	well water.	289		晴方_274-302
To abbas	水	To ab_bas	see water.	289		晴方_274-302
To-ak	一種鳥	To-ak	a kind of bird.	289		晴方_274-302
Toch	一個數字	Toch	a number, & tatoch, a numbering.	289		晴方_274-302
Tochab	一個洞；門；窗	To_chab	a hole, a door, a window. From tummochab, tattochab, an opening.	289		晴方_274-302
Tochorochen	咳嗽	To_cho_ro_chen	zinochorochen, tatochoróchen, to be set a coughing.	289		晴方_274-302
Togea	骨髓	To_ge_a	marrow.	289		晴方_274-302
Togea	狙擊	To_ge_a	snipe.	289		晴方_274-302
To-i	碎片	To-i	a splinter.	289		晴方_274-302
Tok	平靜	Tok	a calm. From pattok.	289		晴方_274-302
Tokkilli	年輕男子穿戴的鈴鐺	Tok_kil_li	jingles, worn by young men.	289		晴方_274-302
Tomo	像小疣的面皰	To_mo	pimples, like small warts.	289		晴方_274-302
Tomoon	很多面皰	To_mo_on	full of pimples.	289		晴方_274-302
Tomma	誰?	Tom_ma	who?	289		晴方_274-302
To-o	海角	To-o	a sea horn.	289		晴方_274-302
To-or	格柵	To-or	a lattice, a grating.	289		晴方_274-302
To-obabat	發育過度的男子	To-o_ba_bat	an overgrown man.	289		晴方_274-302
Tonso	一個中文單詞，意思是祖國	Ton_so	a Chinese word, meaning Fatherland.	289		晴方_274-302
Tooma	閱讀清單	To_o_ma	tsi. tat. imp. tara, pass. ta-an, tsina, inota-an, the reading of a list. Pata-a, tran. nom. tattûa, the reading aloud; and Maatttata-a, one who reads the roll.	289		晴方_274-302
Toppi	一種蘆葦，人們用它們來做箭	Top_pi	a sort of reed, of which men make arrows.	290		晴方_274-302
Torritorri	螢火蟲	Tor_ri_tor_ri	a firefly, as tai-tai.	290		晴方_274-302
Torro	我們	Tor_ro	we, us. But differs from namo.	290		晴方_274-302
