lemma,zh-def,ori-def,ori-page
Rummopû,從嘴中吐出東西但不是唾沫,"ri, ra, ropû, eropa, ineropû, inoeropû, to spit anything out of the mouth, but not spittle, for that is petûmmo. Paropû, trans. raropa, a spitting out.",259
Rummoos,追逐,"rinummoos, rarûmmoos, rosû, rosen, rinoos, inoroosen. to run after, to pursue. Paroos, pinûroos, papûroos, iparosa, &c. to cause to pursue.",259
Rummorro,召集在一起,"rinummorro, rarummorro, rorroa. rorroon, rinorro, inororroon, to call together, to put together, as clothes in a chest, drink in a pot, paddy in a sack, &c. also parorro, see in Parórro. Also to encircle. Rummorronocho, to encircle any one. Parorro, an assembly, act. arórroan, or aroroaijan, a place of assembly.",259
Rummorosan,臨死前最後一口氣,"rinummorosûn, rarummorosan, to gasp at the point of death.",260
Rummorroos,蒐集；聚集,"runrmmorroos, rarummorroos, rorrosa, rorrosen, rinorroos, inororrosen, to collect, to gather. Parorroos, pinarorroos, paparorroos, iparorrosa, iparorroos, to cause to gather.",260
Rummot,包裹任何東西,"rinummot, rarummot, rotta, rotten, rinot, inorotten, to wrap up anything. Parot, pinarot, paparot, to cause to be wrapped up. Rarot, a wrapper.",260
Rumm#tós,逆風、逆流而行,"ri, ra, ruttossa, tuttossen, rinotos, inorotossen, to go against anything, as against the wind, stream, &c. Paûttos, transiti. Rarotos, such a going. Maararotos, such a goer.",260
Rummotul,自以為是，剝奪了他人的一切,"ri, ra, rotulla, rotullen, rinotul, inorotullen, to take to one's self, and thus to deprive another of anything. or to cause that he has it not. Parotul, trans. rarotul, nom. a depriving. Ma-ararootul, one who deprived.",260
Rumpe,吞下,"rinumpe, rarumpe, ruppea, rûppein, rienpe, inoruppein, to swallow up, Paarpe, pinâarpe, papûarpe, ipûarpea, &c. to cause to be swallowed up. Raruppe, a swallowing. Rûrâûppe, o man, o micham, the passage where eating and drinking goes thro'.",260
Sû-a,但是,but; for.,261
Sûam,鷓鴣,a partridge.,261
Sûas,鬆弛；腹瀉,"looseness, a diarrhœa.",261
Sabûnno,何時,"when; sasai o sabûnnojoa mamau oe, when will your father come ?",261
Sûbba,一條河,a river,261
Sûbba,貧窮,"poverty, from Masaba.",261
Sûbbacha,一張嘴,a mouth,261
Sûbadta,一條街,a street; from Summabad.,261
Sûbbi,成熟的鯉魚,"a carp, that is full grown; autobabot, half grown; barobablyi, about a span long; dille o barobabbi, a young carp of a smaller sort.",261
Sacha,之後,"afterwards; sacha a nataap rûmmies, after six days; sacha a nattada eidas, over a month; sacha a natorroa baas, after three years.",261
Sallaban,屏幕以產生陰影,"a screen, to make a shadow.",261
Sam,蓆子,"a mat, to sleep on.",261
Samere,臉頰,a cheek.,261
Saûn,理解,the understanding.,261
Sammarótta,後天,the day after tomorrow.,261
Sûndon,房子的入口,"the entrance of a house, including the door and threshold; inaúnûmina jo saide sandon ? talla alla mossei dummora don ? why do you stay at the door? why do you not come in?",261
Sanna,忌妒,"envy, jealousy; see Masannan.",262
Sapûk,任何不好聞的氣味,"any unpleasant and stinking smell; anything that stinks, or is nasty, so that the senses loathe it.",262
Sapisab,房子或遮陰處,"a house or shed, such as is generally seen in front of native houses",262
Saroko,小塊印度牛,the nump of the Indian cow.,262
Sûrra,一列人或物,"a row of persons or things, that stand one after the other. Sarró mababat, to go one after the other. Sarro makarieb, ditto. From Pissûrra.",262
Sarrodon,來自一個家庭的人,"persons who come from one family, as Taborron. It must be pronounced sarr-o-don, and means a race, a line. See Pissarra",262
Sarra oa oû,烏鴉,a crow.,262
Sarries,一包線,pack thread.,262
Sarrisar,包腸子的網子,the net that incloses the bowels.,262
Sûrrosó,薄霧；潮濕,"mist, damp. Poch-poch a sûrroso, de bonna, the mist in the field. Sarrosoûn, misty.",262
Sasûar,男生的頭巾,the headkerchief of the men.,262
Sasûat,白珊瑚珠,"white coral beads, which the young women wear on ther legs. Sabitoi o sasaat, the red corals which they wear about these, Aud tatte opô, those which are worn underneath.",262
Sasûijan,任何地方,"and sasosaijan, the place of anything, hence peo sassaian, a dwelling house. Sino saijan, and inosasaijan, this has no other tenses than these three, præsens, praet. and fut. pas. it means also simply a residence. Sasaijan omerien, a work place. Contracted from sasaû merien.",263
Sasûinas,沒有遮蔽物，從房子望出去的景,"praet, pass. sinoainasan, praes. inosaûinas, fût. a look out house: this has no covering, and differs from tarrakal, which has a covering.",263
Sasakimotto,交叉；十字,"a cross, from Summaki motto.",263
Sasûlla,欺騙,"deceit, from Sûmmûlla.",263
Sasallan,戒指,"a ring, such as men wear on the fingers. From Summallan.",263
Sasûnnasûnna,噴口,a spout.,263
Sasûppa,一張紙，或任何攤開的東西,"a sheet, or anything spread out. Sasappo azaijan, a table cloth. Sasûp o ratta, a bed clothes. From summûppa.",263
Sasas,水草,water grass.,263
Sasûsjien,缺口,a notch. Root Sumûshien.,263
Sasin,放鬆,"sinaas, to have a looseness.",263
Saso-at,爪子,"a claw. From Summoat, or the clawing itself.",263
Sûsoom,度量；將兩個東西的末端相連,"the measure, where two things with their ends are joined together.",264
Sassies,線；紗,"thread, yarn. From Gummis.",264
Sûssas,放食物的船隻,"a vessel in which people put food to settle, as with us, the skimming dishes.",264
Sûssi,鹽巴,"salt. Sassi, the same.",264
Sûssimar,炸油脂,fried grease.,264
Sassio,地震,an earthquake.,264
Sûssabach,一種毒,a kind of poison.,264
Sasso,不滿意,"disinclination, dissatisfaction, a murmuring disposition: annûmma sasonos? what do you murmur about?",264
Sûsoelan,鍋子或杯子,"a pot, or cup. Written sasûlan.",264
Sja,假如,"if: sia moetas a simma, matalam cho alli sasos' i tumkach, if it rain tomorrow, the people will probably not go out to hunt.",264
Sjach,高山,a high mountain.,264
Sjam,結婚的男子或父親,"a marriedman, or one who has: been married: also a father.",264
Sjien,牙齒,the teeth: plur. sisjien.,264
Sies,任何碎裂的短物,anything broken off short: the back.,264
Sies,任何被製成長的東西,"anything produced long, the end of a thing. Sies o atzaijan, the end of a table. Sies o bonna, the end of a field. Sies o abas, the end of the sea, where it washes the land. It is not applied to things that have no certain, quantity, like the word sisi, see below.",264
Sjibo,鳥巢,a bird's nest,265
Sjiem,小孩，無論是男孩或女孩,"a child, whether boy or girl. Sjiem badda, a boy. Siem maûnuali, ""a girl. Sjiem pûrrach, a bastard. Sjiem pattûla, a step son. Sjiem o kakan, a sucking child. Sjiem o siem, a grandchild.",265
Siiok,大土刀,a large native knife.,265
Simida,村落或田野周圍的空地,"sinimida, sasimida, an open space round a village or a field, to keep off fire. Pasida, trans. Sida, such a path.",265
Sinien,介於兩者之間,"sinimien, sāsimien, sina, sinan, siminan, inosinan, to be in the way between two, to strike in between two ways. Sina osi Ta Cabba inaos, come between me and Cabba. Pûsien, pinasien, papasien, &c. to cause this to be done. Sasien, nom. the name of that which people set between two.",265
Simikasik,像懶人消磨時間般晃動雙腳,"sinimikasik, sasimikasik, sikasikka, sikasikken, sinikasik, inosikkasikken, to dangle with the legs or feet, as idle people do to drive away time. Pasikasik, pi. pa. ipûsikasik ka, &c. to cause such to be done.",265
Simikosikko,鑽，像人們使用長矛,"sinimikósiko, sikosikoa, sikosikoon, sinikosiko, inosikosikoon, to drill, as people do with pikes. Pûsikossiko, pi. pa. ipasikosikoa, ipûsikosiko, &c. to cause such to be done.",265
Simioch,事先帶來,"sinimioch, sasimioch, siocha, siochen, sinioch, inosiochen, to bring before the hand, Pûsioch, pinûsioch, papûsioch, ipasiocha, ipasioch, inipasioch, to cause such to be done.",266
Simipir,丟錯邊或丟過頭,"sinimipir, sasimipir, sipirra, sipirren, sinipir, inosipirren, to throw the wrong way, or behind one's hand. Pûsipir, pinasipir, papasipir, &c. to cause anything to be thus thrown.",266
Simisich,用手掌或腳掌打破或壓扁東西,"sinimisich, sasimisich, sisicha, sisichen, sinisich, inosisichen, to break or flatten anything with the palm of the hand or foot. Sisichen orima ja bart, to crush the musquitoes with the hand. Tapos sisjiem sasai simisich na-a babat donja cho' asjiel, let all the children come and merely rub the flog with their feet. Pasisich, pi. pa. ipûsi sicht, ipasisich, inipasisich, inoipasisich, to cause such to be done.",266
Simiri,用本地的方式呼喊,"sinimiri, sasiniri, sirig, siri-in, siniri, inosiri-in, to bawl out in the native manner. Pasiri, pi, pa. ipasiria, ipa siri, &c. to cause any one to bawl out.",266
Simarauros,縫,sewet.,266
Sini-apillo,大拇指；足拇指,"the thumb, the great toe.",266
Simitik,把東西綁緊,"sinimitik, sasimitik, sitikka, sitikken, sinitik, to bind anything tight, or to hawl anything tort. Pasitik, pinasitik, papûsitik, ipasitikka, ipasitik, inipasitik, to cause such to be done.",266
Sini,女性,"the female among beasts: applied: to men, it means a married woman, who has had children: or who is become old: in which case also an unmarried woman is called sini.",267
Siórra,一種鳥,"a certain bird, from which quills are obtained:",267
Sisi,任何事物的結尾,"the end of anything; sisia oetas, the end of the rain: sisia makarieb, the end of traveling: sisia patite, the end of speaking: sisia tämmäap, the end of working.",267
Sisa,太陽,"the sun, a day: written zijs-ja.",267
So,被吃光的草坪,"a place where the grass is eaten of, and is now bare.",267
Soa,傷口,a wound.,267
So-o,連接詞 and,the conjunction and.,267
Soan,南,"the south. Matasoan, southward.",267
Soloch,東邊天色的陰暗與風暴,the darkness and storminess of the sky in the east: see summoloch.,267
Sorro,杵,"a pestle, with which people beat paddy out of the stalk.",267
Soso,任何長度,the length of anything.,267
Sosonk o silen,因為蛀牙而生的病,a sickness consisting of: rotten teeth.,267
Sosumma,蛋黃,the yolk of an egg.,268
Sumbach,使用某種毒藥,"sinu bach, sasumbach, sabûcha, sabachen, sienbach, inosabach, to administer a certain poison, called sasabach. Pāsabach, pinäsabach, papāsabach, &c. to cause to be poisoned.",268
Sumbo,放下任何事物,"sinûmbo, sasumbo, iseboa, isebo, inisebo, inoisebo, to set anything down. Pûsebo, pinasebo, papasébo, ipûseboa, &c. to cause anything to be set down.",268
Sumkir,壓下,"sinumkir, sasumkir, isekirra, inisekir, inoisekir, to press down. Sûmkir orarro, to dip in the water; to put the hat on firmly, or to press it down. Pûsekir, pinûsekir, papasekir, ipasekirra, &c. to cause such to be done. Sûmkir i tono cho, to dip a person in the water. Sasekir i tono christan, Christian Baptism.",268
Sumkir and sekirra,檳榔的原物料,"sekirran, sienkirrah, inosikirran, the making up of the betel nut. Pasekir, pi. pa. &c. as above.",268
Summaam,糾纏或夾帶,"sinummaam, sasāmmaam, saamma, saammen, sinaam, inosaammen, to entangle or entrap. Pāsaam, pl. pa. 1pasaamma, lpasaa, Inlpasaam, &c. to cause to be entrapped.",268
Summabas,嘗試,"siniammabas, sasāmmabas, sabassa, sabassen, sinabas, inosabas sen, to try, to tempt, to make a trial. Pasabas, pinasabas, papasabas, ipasa bassa, &c. to cause such to be done.",268
Sasabas,試驗；試探,"a trial, a temptation. Ma-asasabas, a tempter, one who tries.",269
Summahad,把東西排成列,"si. sa.. imp. Sabadda, to arrange anything in rows, as fields, trees,
streets, plants, &c. Pasabad, trans.",269
Summabaugarro,某種綁東西的方式,"si. Sa. Pasabougarro, trans, a certain manner of binding, as if it were braided.",269
Summabot,用猜的,"sinummabot, sasummabot, sabotta, sabotten, sinabot, inosabotten, to do anything by guess, to guess at anything. Sümmabot osſimmot, to point out or lay out anything by guess.",269
Summabsab,鞭打,"sinummabsab, sasāmmabsab, Sabsabba, Sabsabben, sinabsab, inosabben, to whip, to beat any one openly. Pasabsab, pi. pa. ipûsabsabba, ipasabsab, &c. to causesuch to be done. Sasûbsab, such a blow, also the instru-ment, as a stick, &c.",269
Summada,尋找,"sinummada, sasāmmada, sadda, Saddan,sinadda,inosaddan, to seek. Pasadda, pi. pa. &c. to cause to seek.",269
Summadich-iboch,餓，渴望某物如同飢餓一般,"sinämmadich-iboch,sasummadich-iboch, sadaudich-ibocha, Sadaudich-iboch, sinadaudichiboch, inosadaudichiboch, to be hungry, to desire anything as hungry. Pasadich iboch, pi. pa, ipûsadich-ibocha, &c. to cause such to be done.",269
Summakimotto,把東西交叉,"sinämmakimotto, Sasummakimotto, Sakimottoa, Sakimottoan, sinakimottoûn, inosakimottoûn, to make anything cross-wise, or with a cross Pāsakimotto, pi, aipasakimottoa, &c. to cause such to be done.",270
Summaksak,踐踏,"simummaksak, sasunamaksak, saksakka, saksakken, sitûksak, inosaksakken, to trample, to tread, to tread down. Pasaksak, pi, pa ipasak sakka, &c. to cause such to be done.",270
Summaksak,東方的破曉,"&c. the breaking forth of the morning in the east, Summaksak abajan, it dawns in the east.",270
Summala,用行動或言語欺騙,"sinum malla, sasunimalla, sal. la-a, Salla-an, sipalla, indsalla-an, to deceive with words or actions. Pasalla, pinasalla, papāsalla, ipûsalla, inipûsalla, incipasalla, to cause to be cheated,",270
Summallaban,任何能產生陰影的東西 (如雨傘),"sinummallaban, sasāmmallaban, sallabānna, sallabannan, sinallabannan, inosallabannan, that which makes a shadow, (as an umbrella, &c.) to overshadow any one orthing. Pûsalaban, pinäsalaban, papasallaban, ipûsallabanna, ipasallaban,
to cause such to be done.",270
Summallad,揭露；理解,"sinum mallad, sasāmniallad, salladda, salladden, sinallad, inosûl ladden, to discover, to be aware of. Pasallad, pinasallat, papasallat, ipasalladda, &c. to cause to be discovered.",271
Summamgean,提供,"si. Sa.. imp. Samgeanna, pass. samgeannen, sinamgean, to offer, is originally a Chinese word, but a dopted by the Formosan and declined after their manner. Samgean, offering.",271
Summamo,扭曲；三條線,"si. Sa. Samoa, Samoan, &c. to twist, a three fold cord. Pasamo, tran.",271
Summallan,戴上戒指,"sinum mallan, sasummallan, sallanna, Sallannan, sinallanan, inosallanan, to put a ring on the hand. Pasallan, pi. pa. &c. to cause to be done.",271
Summammisam,王冠,"imp. Sammisamma, Sam misamman, &c. to crown. Pasammi san. Sammisam, a crown, garland: sasammisam, a crowning, Ma-asasammisam, a crown maker.",271
Summannasanna,發出嘶嘶聲,"sinummannasanna, Sasummannasannā, sinannasanna, san, nasanna, sannasamnûan, sinannasanna, inosannasamaan, to hiss at. Pasannasanna, pi. pa. ipasannasanna, inipasannasanna, &c. to cause to be hissed.",271
Summaod,傾倒,"sinummaod, Sasummaod, saodda, sinaod, inosaodden, to pour out, either on purpose, or by accident. PaSaod, pinasaod, papasaod, ipasaodda, &c. to cause to be poured out. Masaod, neutr. see in M. the acti. of which is Pasaod. Sasaod, a pouring out.",272
Summapar,怒握某物,"sinummapar, sasummapar, Saparra, saparran, sinoparran, to grasp anything furiously, as those do who fear that it will escape them. Naa sinumpar o masarro, I have seized a young hind. Pasapar, pi. pa. ipasapara, ipasapar, &c. to cause to be thus seized.",272
Summapiel,把東西放在地上，沒有凳子、板子或其他東西,"sinummapiel, sasummapiel, sapilla, sapillan, sinapil. inosapilan, to set down on the ground, without stool, mat, or other article. Pasapil, pinasa pil, papasapil, ipasapilla, ipasapil, ini pasapil, to cause such to be done.",272
Summappa,蔓延,"sinum mappa, sasunmapp sappa and Sappaja, sapanni, Sinapanni, inosapanni, to overspread. Pasappa, pi. pa. ipasappaija, ipāsappa, inipasap pa, to cause to be overspread.",272
Summara,為了睡覺而躺下,"sinuumara, Sasummara, sar ra, Sarranni, sinaranni, inisaranni, to lie down in order to sleep. Pasarra, pi. pa. ipăsarra, inipăsarra, inoipăsarra, to cause to lie down to sleep.",272
Summarabsab,,same as summalachkach,273
Sumarammo,綁一捆稻草,"si, sa, to plait a rope of straw, i. e. from double. Saramoa, Sa ramoar, &c. Pasaramo, to cause such is be done. Sasûramo, a plaiting. a-asaromo, one who plaits.",273
Sumar-o-asso,沸騰,"Sinummar-O-asso, SaSu In mar-o-asso, to Seethe. Pasaro asso, pi. ps, sc. to cause to be seethed.",273
Summarp,熊熊燃燒的烈火,"sinum marp, Sasummarp, sarpen, sinarp, inosarpen, the burning And singeing of fire. Pasarp, pinäsarp, papasarp, pasarpa, pasarp, Impasarp, the fire singeing or burning anything.",273
Summarries,繫帶；繫繩子,"si. Sa. Sarriesa, sarriesen, simarries, inosarriesen, to lace, to string. Pasarries, tran. Sarries, thread.",273
Summarroso,變得有霧氣或變得潮濕,"sinum marroso, sasummarroso, to grow foggy or damp. Pasarroso, pl. pa. ipasarrosoa, ipûsarroso, imipûsarroso, to cause the same.",273
Smipûsarroso,讓東西變一樣,to cause the same.,273
Summas,,see below under summoso.,273
Summasjien,開一個槽,"siuûmmasjien, sasummasjien, Sasjima, Sasinan, Sinasinan, inosasinan, to notch, to make a notch, to make teeth. Pasasien, pinasasien, papasasien, ipasasina, &c. to cause to be notched. Sasasjien, the notching.",273
*mmaso,游泳,"sinûmmaso, sasummaso, sasoa, sasoan, sinasoan, inosasoa, to swim. Pasaso, see above in Pa.",274
*mmasoom,聚在一起,"sinummasoom, sasummasoom, isasoma, isasoom, inisasoom, inoisûsoom, to join together, so that the ends come together, but not over or in each other. Pasasoom, &c.",274
*ḿmasi,攪拌鹽巴,"sinummasi, sasummasi, sasi, sasian, sinasian, inosasian, to mix salt, as people do in food when it is being cooked, or after it is dressed, but is too insipid. Pasasi, trans. Sasi, salt. nom.",274
*mmassio,地震,"si. sa. the shaking of the ground. Sasio, nom. earthquake.",274
*mmatsat,鍛鐵,"sinûmmatsat, sasummatsat, satsatta, satsatten, sinatsat, inosatsatten, to forge, as a smith. Pasatsat, pi. pa. ipûsatsatta, ipasatsat, inipûsatsat, inoipasatsat, to cause to be forged.",274
*mmedo,感覺,"sinûmmedo, sasummedo, siddoa, siddóon, siendo, inosiddóon, to feel.",274
*mmatta,生吃食物，或單吃食物不配任何東西,"sinummatta, sasummatta, summattan, sinummattan, inosummattan, to eat food raw and undressed, or alone and without mixing with other food, (as flesh without rice, or rice without any additions.) Pasummatta, pinasummatta, papasûmmatta, ipasummatta, &c. to cause such to be done.",274
Summeal,當間諜監控敵人,"si. sa. sealla, pass. seûllan,  sineal, inoseûllen, to spy an enemy. Passeal, tran. Saseal, a spying.",275
Summeit,捏,"si. sa. seitta, seitten, sineit, inoseitten, to pinch, to join, i. e. under, as pillik, but between two is lummabit.",275
Summerik,壓、擠，或絞乾,"sinummerik, sasummerik, sirka, sirken, sinirka, inosirken, to press, squeeze, or wring out. Pûsirk, pi. pa. pinûsirk, papasirk, &c. to cause such to be done. Summerik o loan, to milk the cows.",275
Summeto,跛行,"(the e short) si. sa, sitton, ***toan, sinittoan, inosittoan, to limp, **ûmmotul. Pasito, trans. Sasito, a limping. Ma-asasitto, one who limps.",275
Summis,縫,"sinummis, sasummis, sissa, ***sen, sinis, inosissan, to sew, also to stitch, in which case it is sissan, **san, inosissan: also to backstitch, in which case it is isis, misis, ino***, **sis, pinasis, papasis, ipasi***, ip***, inipasis, to cause to be sewed.",275
Summiksik,扣上鈕扣,"si. sa. siksikka, siksikkan, siniksik, inosiksikken, to button tight, also summiksik. Pasiksik, trańs.**iksik, a buttoning, Ma-asasiksik, one who buttons.",275
*mmoal,提醒過去的承諾或債務,"si. sa. soalla, soûllen, sinoal, *nosoallen, to remind of an old promise or debt. Pasoal, trans.",276
*mo-asoap,憑感覺盲目地做某事,"sinûmmoûsoap, sasûm*oûsoap, soasoûppa, soa-asappen, si*oasoap, inosoasoàp, to do anything blindly and by feeling.",276
*mmoat,用鋤頭拔除田裡的雜草,"sinûmmoat, sasûmmoat, soût-*a, soûtten, sinoat, insoatten, to pull up and remove the weeds with which the *ice fields are covered by means of a *ook or hoe. Pasoat, pinasoat, papaso*t, ipûsoat, inipasoat, inoipà-oat, to cause such to be done.",276
*mmogo,將繩子或藤的兩端連結在一起以延長,"si. sa. imp. sógoa, to bind two ends, as of string, rattan, &c. one over the other and thus to lengthen. Paso-*go, trans.",276
*mmokar,推開，或是督促人們或促使他們去做自己有意願的事情,"sinummokar, sasummokar, *let the o be scarcely heard) isokarra, *sokar, inisokar, inoisokar, to push away from one. Also to drive on people and urge them to do that which they are disposed to. Summaloso, si. sa. salosoa, salosoan, sinalósoan, ino*alosoan, to drive on and urge. Pasa*o*o, &c. Summekar o chan, to stir up the fire. Pasokar, pinasokar, papasokar, ipûsokarra, ipasokar, inipasokar, inoipasokar, to cause such to be done.",276
Summoes,生長；增加；變好,"sinûmmoes, sasûmmoes, to grow, to increase, to become great. Pasoes, pinasoes, papasoes, ipasoesa, ipasoes, inipasoes, to cause to grow.",277
Summokad,用腳推或踢,"sinûmmokad, sasummokad, sokadda, sokadden, sinokad, inosokadden, to push or kick with the foot. Pasokad, pinasokad, papasokad, ipasokadda, &c. to cause such to be done.",277
Summokko,用棍子、撥火棍、劍去推或插某物，或用手指指,"sinummokko, sasummokko, sokkoa, sokkoon, sinokko, inosokkoon, to push or thrust any one with a stick, poker, sword, &c. also to point with the finger. Pasokko, pi. pa. ipasokkoa, ipasokko, &c. to cause to be pushed.",277
Summook,用後腳踢,"sinummook, sasummook, soka, soken, sinook, inosoken, to kick with the foot behind. Pasook, pi. pa. ipûsoka, &c to cause such to be done.",277
Summokkosokko,頻繁推動、攪動,"sinûmmokkosokko, sasummokkosokko, sokkosokkoa, sokkosokkoon, sinokkosokkoon, inosokko-sokkoon, to push frequently as above, summokkosokko no zido, to churn. Pasokkosokko, inipasokkosokko, inoipasokkosokko, to cause such to be done.",277
Summoloch,當雲團密布，越過丘陵，東部雷雨交加時。頻繁發生在東南季風時的傍晚,"sinûmmoloch, sasummoloch, the threatening, drawing together of the clouds, over the hills, when the eastern quarter is set in for rain and thunder, as frequently in the southeast monsoon, takes place towards evening. Pûsoloch, pinûsoloch, papûsoloch, ipa-solocha, ipasoloch, to occasion such.",278
Summóoso,跟進、追蹤,"sinûmmóoso, sasummooso, soossoa, sóossoon, sinosso, inosoossoon, to follow up, to trace. Pû-oosso, pinasoosso, papûsoosso, ipasoossoa, ipasoosso, to cause to be followed up.",278
Summopat,反對；做任何相反的事情,"sinummopat, sasummopat, sopatta, sopatten, sinopat, inosopatten, to be over against, to do anything in opposition. Pasopat, pinasopat, papû-sopat, &c. to cause such to be done. Sasopat over againt: this word is joined with karri and mau, as (karri-sasopat) and means to be over against each other: thus karrisasopat patodon, to live opposite to each other. Summapat o meroos, o pattite, to sit or speak one over against the other.",278
Summopisop,用手撫摸或撫平,"sinummopisop, sasummopisop, sopisoppa, sopisoppen, sinópisop, to stroke or smooth with the hand, also to level, see Masopisóp. Pasopisop, pi. pa. ipûsopisop, in ipûsopisop, to cause to be stroked.",278
Summoppo,就像在田間砍掉稻穀一樣,"si. sa. suppoa, to put up in heaps, as is done with the paddy after it is cut down in the field. Pasuppo, to cause such to be done. Suppo, a heap of corn, such as is seen in the fields, in the time of harvest.",279
Summoso,烤,"sinûmmoso, sasùmmoso, sosoa, sosoon, sinoso, to roast. Pasoso, pi. pa. ipasosoa, to cause to be roasted. Sasoan and sasosoaijan, a roaster or spit with which people roast.",279
Summosa,居住,"sinummosa, sasummosa, sósasosanni and sosaijan, inososanni and sinososaijan, inososanni and inososaijan, inososanni and inososaijan, to dwell, to inhabit. Pasosa, pi. pa. ipasosa, &c. to cause to inhabit.",279
Sammas,擺放食物,"sinummas, sasummas, s***, sassan, sinas, inosassan, to put food to settle, as people do in a skimming dish. Pasas, pinasas, papasas, ipasassa, &c. to cause to settle.",279
Summot,用手、火槍、箭，或劍指向前方,"sinummot, sasummot, sotta, sotten, sinot, inosotten, to point towards, either with the finger, or musket, arrow, sword, &c. Pasot, pinasot, papasot, &c. to cause such to be done.",279
Sumpo,幫忙某事,"sinûmpo, sasumpo, suppoa, suppoan, sienpon, inosuppoan, to help, to lend a hand in any work, as Molliol. Pasuppo, pi. pa. ipasuppoa, ipasûppo, &c. to cause such to be done.",279
Ta,男性專有名詞前方的前綴虛詞,"a particle prefixed to all proper names of men, as Ta Cabba, Ta Bai, &c.",280
Ta,領土、土地或住所；普通道路或街道、地面。,"territory, land or dwelling place; the common road or street, the ground.",280
Tû-aka-idas,半月,a half moon.,280
Tûan,一個抓野生動物的陷阱,"a snare, for catching wild beasts.",280
Taamen o rapies,乞求；沒有羞恥地要求任何事情,"tsi. tat. imp. taamen o rapisa, pas. taamen o rapies, tsinaamen o rapies, inotaamen o rapies, to beg, to demand anything without shame, nom. Ma-ataamen o rapies a beggar.",280
Tabba,當地的伐木者,a native chopper. Fr. tummabba.,280
Tabboen,成人,"full grown, adult.",280
Tûbboeron,一個家族,"a family sprung from one stock, relations.",280
Tûbillo,風笛或小號,"a bag-pipe, or trumpet.",280
Tûbtab,下雨時沒有積水的地方,"a place where no water settles, when it rains. Matabtab, the verb.",280
Tûbo,大葫蘆,a large gourd.,280
Tach,濕氣,"moisture, sap. From Matach.",280
Tûch-anas,淡水蝦,"shrimps that are taken in fresh water; also teor, a large kind; rauno, a small kind of shrimps, which are found in salt water, Aûan, very small shrimps.",280
Tadûch,熱,heat. From Matadach.,281
Taddachal,人們拉下土的工具,an instrument with which people pull down earth,281
Taddai,龍脷，一種魚,"a sole, a sort of fish",281
Taddakal,女子佩戴的頭帶,"a head band, such as the women wear.",281
Taddaries,鎖,a lock. From dûmmarri.,281
Tûddogon,人或獸的上方部分,the upper part of a man or beast,281
Tagga,血,blood. From Matagga.,281
Taggausasan,一些竹子放在屋內門口上方,"certain cross bamboos placed above the entrance of the door of a house, on the inside.",281
Taggargar,鐵索,"a cable, from takkat and arrat. See takkar, and gûmmûrgar.",281
Taggoggoach,血管,a vein. Compounded of tagga and oggach.,281
Taggogon,使口渴,"zinûggogon, tataggogon, to thirst. Pataggogan, pinûtaggogan, p*pataggogan, ipûtaggoganna, to cause to thirst. Toggogon, nom. thrist.",281
Taikien,一種珠子；深受當地人的推崇,"a kind of beads, much esteemed by the natives.",281
Taitai,螢火蟲,a fire-fly.,281
Tûkkar,錨，人們在渡口停泊船的柱子,"an anchor, a post to which people moor a boat at a ferry.",281
Tûkkeein,矮人,a dwarf.,281
Talcko,極度的；優秀的；極度強大；罕見的熱,"exceeding, excellent, as talcho mabarra, talcho matadach, exceeding strong, uncommonly hot.",281
T*hoach-o,精通的人；超過他人的權力、財富、美貌,"one who excels, or surpasses might, wealth, beauty, &c.",282
T*,什麼? 帶有憤慨,"what? with indignation. Talla *mmara imónos, what* do you lie * rags?",282
T*s,陶瓷碎片,a pot sherd,282
T*,一粒米,"o no adda, a grain of rice.",282
T*,,"o noeno, the brain pan: written *lao-n-oeno.",282
T*piech,大鏢,a large dart.,282
T*li,酢漿草,sorrel.,282
T*chon,持續的毅力,"continual perseverance. Tal-*hon sisa, the whole day. Tûllachon *n, micham, mababat, to be constant-eating, drinking, going, &c.",282
T*aian,西班牙痘,the Spanish pox.,282
T*mimme,馬鈴薯,potatoes.,282
T*moes,碎屑；碎片,"crumbs, fragments.",282
T*moesan,崩塌,crumbled.,282
T*aas,"表讚美的虛詞，像 ""啊!""","a particle of admiration, as ah! * that!",282
T*ch-a,一副馬褲,a pair of breeches.,282
T*rri-parri,手拉車,"Takeis, a cart. Go-or, or *or. Tateûrraû loan, the poles of a *t. Asasûû loan, the yoke.",282
T*s,全部,all,282
T*oesan,蜜蜂,a honey bee.,282
T*ara,蜘蛛,a spider.,282
Tûr,各種污染，例如鼻涕，油脂等,"all kinds of pollution, as from snot, grease, &c.",283
Tarren,焦油污染的任何東西，見下文,"anything defiled with tar, see below.",283
Tarra,刺魚，有兩種: 刺魚或長得像鯊魚的魚,"a thornback, of which there are two sorts, tarra boetsina, a thornback: tarra paga aubaas, a fish somewhat resembling the shark, with a broad blotch on the nose.",283
Tarrabeoan,彩虹,"or Tarraboan, a rainbow.",283
Tarra ie rain,眼睛流下的水,"tsi. tat. the trickling of the eyes. Patarra-ie-ra-ien, transit.",283
Tarrakal,一個高高聳立的小木屋，當地人經常在裡面睡覺；位於他們的房屋旁邊或田野中,"a small hut, standing high in which the natives frequently sleep; such as are beside their houses, or in the fields.",283
Tarran,道路,"a way; mitarom' o taran, two roads that meet together. Rariedda **ran, a way that divides into two.",283
