詞條,釋義,中文,頁數
Tummaiba,"tsi. tat. taiba, to do anything together, or in company. P** &c. to cause such to be done. ** comes aurri a teiba, that is the ** money given when people work together, as if they said, aúrëdda a teiba, so that this noun seems to come from moriedda and tummûiba, to work together. For they say also, Moriëdda o taiba, and Moribal o taibe, to leave offm to cease such working together.",一起做某事,295
Tummakal,"zinummakal,tatummakal, ta kalla, takallan, zinûkallan, inotakal
lan, to put on a woman's head-band. Pûtakal, pinûtakal, papûtûkal, ipatakalla, &c. to cause such to be done. Written dummakal.",戴上女人的頭帶,296
Tummakas,"zinummakas, fatummakas, takassa, takassan, inotakassan, to stop any one in the road, or to turn him out of the way. Patakas, pinatakas, papûtakas, ipûtakassa, ipatakas, &c.
to cause such to be done.",阻止任何人上路，或阻止他前進,296
Tummakkis,"zinummakkis, tatummakkis, taksa, taksen, zinaksan, inotaksan, to stick together, and make one. Patakis, pi. pa. ipûtaksa, ipûtakkis, &c. to cause such to be done.",粘在一起，使變成一個,296
Tummakkoob,"zinummakkoob, tatummûkkoob, takkoba, takkoban, zinakkoban, inotakkoban, to cover, to cover entirely. Tûmmakkoob o macha, to blind the eyes. Parakkoob, pi. pa. ipaipatakkoba, &c. to cause to be covered. Also to cover with a rug.",覆蓋，完全覆蓋,296
Tummala,"zinummala, tatummala, talûtûlanm zinala, inotalan, to find, ro welcome. Patala, pinatala, papûtala, ipûtala, &c. to cause such to be done.",找，歡迎,297
Tummalûttala,"zinummalattala, tatnmmalattala, tallattala, tallattalan, zinalattalan, inotallattalan, to pacify, to still, to calm all sorts of emotions. Patalattala. pi*atalattala, papûtalattala, &c. to cause such to be done.",撫平，直到各種情緒平靜,297
Tummalas,"zinummalas. tatummalas, talassa, talassen, zinalassen, inotallassen, to tread under foot. Patallas, pinûtallas, papûtallas, ipatallassa, ipatallas, &c. to cause such to be done.",踩在腳下,297
Tummalizi,"zinummalizi, tatummalizi, talizia, talizian. zinalizian, inotalizian, to dance. Patalizi, pinatalizi, papûtalizi, ipatalizia, &c. to cause to dance. Sometimes the t is changed into d, see dummalizi.",跳舞,297
Tummûlpon,"zinummalpon, tatummalpon, talponna, talponnan, zinalponnan, inotalponnan, to betake one's seld any where, or set forward. Also to stir one's self up, and exert one's strength. **talpou, pi. pa. ipûtalponna, ipatalpon, &c. to cause such to be done.",在任何地方採取行動，或是激發、發揮自己的力量,297
Tummallo,"zinummallo, tatummallo, talloa, talloon, zinalloon, inotalloon, to allure, to bait. Patallo, pinatallo, papatallo. &c. to cause to allure.",引誘,298
Tummattal,"zinummattal, tatummattal, tattallan, zinattal, inotattallan, to trample with feet. Pûtattal, pinatattal, papatattal, ipatattalla, ipatattal, inipa- &c. to cause such to be done.",用腳踐踏,298
Tûmmallumtum,"zinummallumtum, tatummallumtum, inotallumtum, to cover up one's self or another in order to produce perspiration. Patallumtum, pi. pa. ipatallumtumma, &c.",遮掩自己或他人以產生汗水,298
Tûmmanna,"zinummanna, tatummanna, tanna, tanuaan, zinanna, inotannaan, to open. Tanna osja chachab o donoe, open the door of the house. Patanna, pi. pa. ipatanna, &c. to cause to open. Tattannanna o parara, an opening to let ** light, that is, a window.",打開房門,298
Tûmmao,"zinummao, tatummao, taoa, taoan, zinaoan, inotaoan, to sprinkle, as with water, salt thin m*d, &c. but to cover wood, stone, and other thhings that do not spread is magga. Wherewith * itaoon, inoitaoon. Patao, pinatao, papatao, ipatatoa, ipatao, inipatao, &c. to cause such to be done.",灑，如水、鹽,298
Tûmmommoos,"zinummammoos, tatummammoos, itammosa, itammoos, initammoos, inoitammoos, to crumble, to shred. Patammoos, pi. pa. ipat*mmosa. ipatammoos. &c. to cause such to be done. Tummammoos, means to stick anything in the mouth.",粉碎，切碎,299
Tûmmopacha,"zinummapacha, tatummapacha, tapacha, tapachanni, and tapachaiyan, zinapachanni and zinapachayan. inotapachanni and inotapachayan, to put on one's breeches. Patapacha, pi. pa. &c. to cause such to be done.",穿上馬褲,299
Tûmmapal,"tsi. tat. tapalla, tapallan, tninapal, inotapallan, to stumble in the way. Patapal, trans. nom. tattapal.",絆倒,299
Tûmmapies,"zinummapies, tatummapies, tapisa. tapisen. zinapies, inotapisen, to beat with a stick, as people do their their clothes, in order to knock dust or dirt. Patapies, zinatapies, papatapies, &c. to cause such to be done.",像人們洗衣服一樣用棍子拍打，以打落灰塵,299
Tûmmapitapies,"zinummapitapies, tatummapitapies, inotapitapisen, to beat with many strokes. Patapitapies, pi. pa. &c. to cause such to be done.",打很多下,299
Tûmmara,"tsi. tat. tara, taran, tsirara, inotaran, to choose anything first: as tummar' o mioa, tummar o mammali balach, to choose to cut down a field; to choose a lady. Patara, trans. ta*ara, a choice. Hence karri tatta-a, mau tat-ta-a, to choose one another.",選擇砍伐一塊田地；選擇一位女士,300
Tûmmarad,"zinummarad, tatummarad, taradda, taradden, zinarad, inotaradden, to gather up what another has scattered, as rice thrown over the floor. Patarad, pi. pa. ipataradda, ipatarad, &c. to cause wuch to be done.",把撒在地板上的東西集合起來，例如散落在地上的米,300
Tûmmaramar,"tsi. tat. tamaramarra, tamaramarren, tsinaramar, inotaramarren, to be here and there, separated from one another, some here and some there. Pataramar, trans. such a scattering.",在這裡和那裡，彼此分散，這裡有一些，那裡也有一些,300
Tummaratral,"tsi. tat. taratralla, to wave as grass, plants, and other little things do, &c. differs from lummitallito. Parakal, trans.",像草，植物和其他小東西一樣舞動,300
Tummarau,"same as dummarau. Patarau, pi. pa. ipataraua, &c. as Padarau.",same as dummarau.,300
Tûmmarautau,same as dummaraudau. Patarautau. pi. pa. same as padaraudau.,same as dummaraudau,300
Tûmmariës,"tsi. tat. tariesa, to intercept any one in his way. Pataries, trans. Tummariës o azies, to intercept the enemy. Nom. tattariës, an intercepting. Ma-atattaries, a hard runner, who overtakes another.",攔截某人,300
Tûmmaróggi,"zinummaroggi, tatummaroggi, taroggia, taroggian. zinaroggian, inotaroggian, to change things which are so much alike that they can be easily mistaken one for the other, and this with intent to deceive. Pataroggi, pinataroggi, papataroggi, ipataroggia, &c. to cause such to be done.",改變非常相似的事物，以至於人們很容易將它誤認為另一種，有意圖的欺騙,301
Tumm*romma,"tsi. tat. taromman, tsinaromman, inotaromman, to betray. Pataromma, trans. tattaromma, treachery. Hence karri-tattaromma, mautattanom-ma. Ma-atattaromma, a traitor.",背叛,301
Tummaroob,"zinummaroob, tatummaroob, tarroba, tarroban, zinarroban, inotarroban, to cover as people do the head with a fan, to pretect them from sun or rain: thus not entirely covered. Or to cover with a rug or such like in which it differs from tummakkoob. Tatarroob, pi. pa. ipatarroba, &c. to cause to cover.",用扇子遮蓋住自己，以防日曬雨淋，沒有完全遮蓋住。或用地毯或類似物覆蓋，不同於 tummakkoob,301
Tûmmarros,"tsi. tat. imp. tarossa, to pick anything here and there, just as people pluck the ripe ears in a field. Patarros, trans.",到處摘採東西,301
Tûmmassal,"zinummassal, tstummassal, *assalla, tassallen, sinassal, inotassal*en, to catch at once, to apprehend. Patassal, pi. pa. ipatassalla, &c. to cause such to be done. Tattasal, nom.",馬上理解,301
T*mmassi,"zinummassin, tatummassin, *assina, tassin, zinassin, inotassin, to entertain any one. Patassin, pi. pa. *patassin, inipatassina, inoipatassin, to cause such to be done. Tattassin, *n expectation, hope.",娛樂某人,302
T*mmatas,"zinummatas, tatummatas, ta*asa, tatasan, zinatas, inotatasan, to fathom. Patatas, pi. pa. ipatatasa, &c. to cause to be fathomed. Tatas, a fathom.",測,302
T*mmatta,"zinummatta, tatummatta, tat-*a, tittan, zinattan, inotattan, to stamp *eed out of the husk. Patatta, pi. pa. patatta, inipatatta, inoipatatta, to cause to be stamped out. Tatta, a *ice stamper.",,302
T*mmattam,"zinummattam, tatummattam, tattamma, tattammen, zinattam, *notattammen, to hold fast. Patattam, pi. pa. ipatattamma, ipatattam, &c. to cause to hold fast.",堅持，屹立不動,302
T*mmau-aab,"zinummau-aab, tatummau-aab, tauba and taûmasan, taûba and *aûmasan, tsinauaban and tsinauma*an, inotaulan and inotaumasan, to do anything first or before another, whether drinking, speaking, or tasting. Patau-aab, pi. pa. ipatauaba, ipatauaab, &c. to cause such to be done, as mananat. Tattau-aab, or tau-aab. nom. subst is used adverbially as before.",第一個做任何事情，無論是喝酒，說話還是品嚐食物,302
Tûmmauka,"zinummauka, tatummauka, tauka, taukan, zinauka, inotaukan, to do anything over again. Patauka, pinatauka, papatauka, ipatauka, inipatauka, inoipatauka, to cause such to be done. Tummaukauka, zi. ta. to increase Tummauka. Pataukauka, &c. as patauka.",重做、翻修,303
Tûmmaula,"same as tummauka. Pataula, same as patauka. Gummalich, idem. nom gagallich: pagallich, idem, mon. gagallich.",跟 tummauka 相同,303
Tûmmaulaula,"zinummaulaula, tatummaulaula, taulaula, zinaulaula, inotaulaulan, to do anything very often; same as Tummaukauka. Pataulaula, pi. pa. &c. as Pataukauka,  to cause anything to be done frequently. Gummalle_allich, idem. Pagallegallich, id.",經常做某事；使某事經常被完成,303
Tûmmaumasa,"zinummaumasa, tatummaumasa, taumasa, taumasanni and taumasayan, zinaumasanni and zinaumasayan, same as Matinnaam. Pataumasa, pi, pa, ipataumasa, inipûtaumasa, inoipataumasa, same as patinnaam.",和 Matinnaam 相同,303
Tummaûraya,"zinummauraya, tatummauraya, tauraya, taurayan, zinaurayan, inotaurayan, to put into a fright. Patauraya, pi, pa, ipûtaûraya, inipatauraya, inoipatauraya, to cause to be afraid.",進入恐懼,304
Tûmme,"tsinumme, tatumme, tea, teen, tene, inoteen, to angle. Pûte, pinate, papate, ipatea, ipate, inipate, inoipate, to cause thus to fish. Tatte, nom.",釣魚,304
Tummeä,"tsinûmmea, tatummea, te-a, te-ûan, tene-a, inote-aûn, to punish. Pûtea, pinatea, papûtea, ipûte-û, inipate-a, inoipatea, to cause such to be done. Tattea, nomen, that wherewith people punish, or the punishment itself.",處罰,304
Tummeän,"tsi. tat. tsänna, tsean, tsinean, inoteän, same as tûmmaiba. Patsan, trans. Tean, nom.",與 tûmmaiba 相同,304
Tummear,"tsinummear, tatummear, ettear, inetear, inoetear, to draw forth, to drag along. Pûtear, pinatear, papatear, ipatearra, ipatearen, inipatear, inoipatear, to cause to be dragged. Tattear, nom. a drawing forth; this word is also applied to the poles of a cart, between which an ox is fastened, in order to draw it.",沿著拖曳；往前拉,304
Tummeûr,"tsinummear, tatummear, tearra, tearren, tsinear, inotearren, to support, to prop up. Patear, pinatear, papatear, ipatearra, ipatear, inipatear, inoipatear, to cause such to be done. Tattear, a prop.",支持；支撐,305
Tummeer,"zinummeer, tatummeer, tera, terin, zineer, or tineer, inoterin, to avoid, to shun either a stab, or a blow. Pateer, pinateer, papateer, ipatera, ipateer, inipateer, inoteer, to cause to avoid.",避免；避開刺傷,305
Tummemon,"zinummenon, tatummenon, tinnona, tinnonnen, zininnon, inotonnonnen, also tinnonnan, zininnonnan, inotinnonnan, to weave. Patinnon, pi, pa, ipatinnonna, ipatinnon, inipatinnon, inoipatinnon, to cause to weave.",編織,305
Tummêpar,"zinummepar, tatummepar, teparra, teparran, zineparran, inoteparran, to lean on anything with the hand or arm. Patepar, pinatepar, pa. ipateparra, ipatepar, inipatepar, inoipatepar, to cause to lean.",用手掌或手臂靠在某物上,305
Tummerap,"zinummerap, tatummerap, terappa, terappen, zinerap, inoterappen, to lick. Paterap, pinaterap, papaterap, inoipaterap, to cause to lick.",舔,305
Tûmmilla,"zinummilla, tatummilla, itilla-a, initilla, inoitilla, to set in, to print in, to stick in, as people pierce a deer with a spear; or to imprint, as people press a seal on wax; while the impression is expressed by the pass. pret. of the verb initilla, that is, that which is impressed. It means also to cook food for children. Pûtilla, pinatilla, papûtilla, ipatilla, inipatilla, inoipatilla, to canse an impression to be made.",刺進（鹿）；標出記號、特徵（如人們把海豹壓在蠟上）,306
Tummillak,"zinummillak, tatûmmillak, tillaggen, zinillag, inotillaggen, to appear, to seem. Patillak, pinatillak, papûtillak, ipatillagga, ipatillak, inoipatillak, to cause to appear.",出現,306
Tummillik,"zinummillik, tatûmmillik, tillikka, tillikken, zinillik, inotillikken, to be struck with blindness in one eye, so that the white of the eye cannot be seen, for then it is tollassen, from tummollas. Patillik, pinatillik, papatillik, ipatillikka, ipatillik, inipatillik, inoipatillik, to cause such to be done. Tûtillik, such a blinding.",因單眼盲而讓人留下印象（眼白無法被看到）,306
Tummillik o babora,"to level the ground for the foundation of a house, and to beat it hard with flat pieces of wood.",做房屋地基；用一片木頭用力敲打,307
Tummittil,"zinummittil, tatummittil, tittilla, tittillan, zinittillan, inotittillan, to beat in. Patiltil, pi. pa, ipatiltilla, ipatiltil, &c. to cause such to be done. Tattiltil, a nail or peg which people drive in, also the driving in itself.",打進,307
Tummirtir,"tsi: tat: tirtirra, to tremble, Patirtir, transit: tattirtir, nom. a trembling.",發抖,307
Tummis,"zinummis, tatûmmis, itissa, itis, initis, inoitis, to throw away, to lose. Patis, pinatis, papatis, ipûtissa, ipatis, inipatis, inoipatis, to cause to be thrown away. Maatûttis, one who throws away.",丟掉；輸掉,307
Tummissan,"zinûmmissan, tatûmmissan, tissanna, to sigh. Patissan, pinatissan, papatissan, ipatissanna, ipatissan, inipatissan, inoipatissan, to cause to sigh. Tatissan, a sigh. Maatattissan, one who sighs.",使嘆息,307
Tummo-ach,"zinummo-ach, tatûmmo-ach, toacha, toûch-en, zino-ach-an, inotoach-an, to come out, to come to light. Thus the sun and moon are said tûmmo-ach, to rise; grass and vegetables, tûmmo-achibabota, to come above the ground; and men, tûmmoach ta, to come out into the street. Pûtoach, pinatoach, papûtoach, ipatoacha, ipatoach, inipatoach, inoipatoach, to cause such to be done. Tattoach, a rising, a coming up.",出來；往光處去,307
Tûmmo,"zinummo, tatummo, toa, toon, zino, inotoon, to reach out the hand to receive anything. Pato, pinato, papato, ipato, inipato, inoipato, to cause such to be done.",伸手以接受事物,308
Tum-o,"zinum-o, tatum-o, to-a, toûn, zino, inotoan, to pick, to stick. Tumo chirrap, to pick the teeth. Tûm-otaddarries, to put the key in a lock, to lock it up, the locking up itself. Also to gore, as a deer with his horns.",拿起；刺進,308
Tummoch,"zinummoch, tatummoch, toch-a, tochen, zinoch, inotoch-en, to number. Tummoch o bido, to read. Patoch, pinatoch, papatoch, ipatoch-a, ipatoch, inipatoch, inoipatoch, to cause to be numbered.",數數,308
Tummochab,"zinummochab_, tatummochab, tochûbba, tochbàban, zinochabban, inotochabban, to make a hole. Pûtochab_, pinatochab_, papatochab, ipûtochabb_a, ipatochab_, inipatochab_, inoipatochab, to cause such to be done. Tattochab, the making a hole; tochab, a hole.",做出一個洞,308
Tummod,"zinummod, tatummod, todda; (this passive is used respecting a field. Bonna todden, the field is planted. But itod, initod, inoitod, means the rice &c is sown;) todden, zinod, inotodden, cover the seed with earth when it is sown. Patod, pi, pa, ipûtodda, ipatod, &c. Tatod, the covering of that which is sown after the sowing. Taddodayan, the sowing time or place.",播種時用土把種子蓋住,309
Tummoelûkkies,"zinummoelakkies, tatummoelakkies, toelakisa, toelakisen, zinoelakies, inotoelakkisen, to do anything unexpectedly; same as Poelakies. Tummoelakkies o poch o cho, to shoot a man suddenly. Tûmmoelakkies, o payach, o riba, to soil a coat unexpectedly. Patoelakkies, pi, pa, ipatoelakisa, ipatoelakies, inipatoelakies, inoipatoelakies, to cause such to be done. Tattoelakies, a mistake, a missing. Hence, kar tattoelakkies, mau tattoelakkies. Mà-atattoelakkies, one who misses.",無預期地做某事,309
Tummok,"zinummok, tatummok, tokka, tokken, sinok, inotokken, to overthrow. Tummok o mallo, to upset a cup. Tummok o bato, to knock against a stone, to stumble. Tummok, o don, to knock at a house, or a door. Tummok o tazirrisan, to hit a nail or pin, in order to drive it in. Patok, pi, pa, ipatokka, ipatok, inipatok, inoipatok, to cause such to be done. Tattok, a knocking, also that wherewith we knoch. Tattok a oos, quasitattokaûs, the beat of a drum. Tattoksayan, the place where people beat, also the time when the gong is beaten.",推翻; 絆倒;  顛倒; 敲門,310
Tummokko,"tsi, ta tokkóa, tokkoûn, pass. &c. to heat up, to lay in a heap. Patokko, to cause such to done. Tokko, a heap.",堆積,310
Tummokkotok,"zinum: tatum: tókkotokka, tokkotokken, zinokkotok, inotokkotokken, the redoubling of tummok. Patokkotok, pi, pa, ipûtokkotokka, ipatokkotok, &c. the redoubling of patok.",Tummok 的加強版,310
Tummolillis,"tsinûmmolillis, tatummolillis, (imp. tollalisa,part. tollolissen, tsinullllolis, inottollolissen, nom. tollalis, a spark, a bit of fire,) to give out sparks, as red hot iron does when it is beaten. Patollilis, pi, pa, ipatolollossa., ipûtolillis, inipatolillis, inoipatolillis, to cause to give out sparks.",產生火花,310
Tummolalla,"tsi: tat: tullalla-a, tûllallaan, tsinullalla-an, the blossoming of trees: inotullalallû-an. Patullalla, transitiv. Tallalla, nom. blossom.",樹的花,311
Tummollûs,"tsi, tat, tollassa, tollassen, tsinollûs, inotollassen, to be blind of one eye, but so as that the white can be seen. Patollas, trans. Tattollas, such blindness.",一隻眼睛瞎掉，但可以看到眼白,311
Tummollo,"zinummollo, tatummollo, tollóa, tolloan, zinolloan, inotolloan, to set on fire. Tummollo, tatollo, to light a candle. Patóllo, pinatollo, papûtollo, ipatolloa, ipatollo, inipatollo, inoipatollo, to cause to be lighted; nom. tattollo, a candle.",生火; 點蠟燭; 使發光,311
Tummoltol,"zinummoltol, tatûmmoltol, toltolla, toltollan, zinoltollan, inotoltollan, to smoke with a whisp of straw, called tattoltol, in order to drive away the moschettoes. Patoltol, pinûtoltol, papûtoltol, ipatoltolla, ipatoltol, inipatoltol, to cause such to be done.",燒麥稈以驅蚊,311
Tummonog,"tsi: tat: tonnoga, tomnogan, tsinonog, innotonnogan, the first rising of the water in the sea or rivers, Tmmonok sai o to, de abas, desabba. Tattonnog, nom. the commencement of flood tide.",海或河第一次水位上升,312
Tummoob,"zinummoob, tattûmmoob, itòbo, itoob, initoob, inoitoob, to sprinkle water, also to sprinkle with the same, when it is toba, tóban, zinoban, inotoban. Patoob, pinatoob, papûtoob, ipûtoba, ipatoob, inipatoob, inoipatoob, to cause to be sprinkled.",灑水,312
Tummo-ol,"zinummo-ol, tatûmmo-ol, toolla, to-ollan, zino-ollan, inoto-ollon, same as tummollo. Pato-ol, pi, pa, ipato-olla, ipato-ol, &c. same as Patollo.",與 tummollo 相同,312
Tummoos,"ziniummoos, tattummoos, tosa, tosan, zinosan, inotósan, where with? itoos, initoos, inoitoos, to rub. Patoos, pinatoos, papatoos, ipûtosa, ipatoos, intipatoos, inoipatoos, to cause to be rubbed. Tûmmóostoos, intend.",使摩擦,312
Tummorraich,"zinummorraich, tattummorraich, torraicha, torraichen, zinorraich, inotorraichen, to slide, or slip of, to slide out. Pûtorraich, pi, pa, ipatorraicha, ipatorraich, inipatorraich, inoipatorraich, to cause such to be done.",滑；滑落,312
Tummorrik,"zinummorrik, tatummorrik, torrika, torriken, zinorrik, inotorriken, to tell lies. Pûtorrik, pinatorrik, papatorrik, ipatorrikka, ipatorrik, inipatorrik, inoipatorrik, to cause to lie.",說謊,313
Tummorritorrik,"tsi: tat: torritorria, torritorrian, tsinotorritorri, inotorritorrian, to flicker, to glitter as the fire flies in the dark, also as the stars in the night. Tummaitas, idem. Pataitas, idem. Patorritorri, trans. Torritorri, nom. a glittering, also a fire fly. Taitai, idem.",閃爍；像螢火蟲在黑暗中一樣發光,313
Tummorritorrik,"zinummorritorrik, tatummerritorrik, torritorrikka, torritorrikken, zinorritorrik, inotorritorrikken, idem. Patorritorrik, an increase of tûmmorrik.",tûmmorrik 的加強版,313
Tûmmorro,"zinummorro, tatummorro, torroan, zinorroan, inotorroan, to leak, to leak out, either through roofs or through broken vessels and so forth. Patorro, pinatorro, papatorro, ipatorroa, ipatorro, inipatorro, inoipatorro, &c. Tummorrotorro, intend.",漏；從屋頂、毀壞船隻等漏出,313
Tummorroch,"tsi: tat: torrocha, torrochen, tsinorroch, inotorrochen, to drag, to pull after one, neutr. Patorroch, trans. to draw, activ. to cause to be drawn. Tattorroch, nom. a dragging. Tummorrotorroch, intend.",拖曳；跟著拉,313
Tummorrod,"zinummorrod, tatummorrod, torroda, torrodan, zinorrodan, inotorrodan, to look downwards, to look in a glass. Pûtorrod, pi, pa, ipatorrodda, ipûtorrod, inipûtorrod, inoipatorrod, to cause such to be done. Tummorrotorrod, intend.",往下看；透過玻璃看,314
Tummose,"zinummose, tatummose, toséa, tosein, zinose, inotosein, same as tummorrik; patose, pinatose, papatose, ipatosea, ipûtose, inipatose, inoipatose, same as patorrik. Tummosetose and
patosetose, same as tummorritorrik and patorritorrik.",與 tummorrik 相同,314
Tummoshiek,"tsi: tat: toshieka, pass. to shiekan, &c. to spatter, to bedaub. Patoshiek, trans. Tattoshiek, nom.",毀謗；中傷,314
Tummosik,"zinummosik, tatummosik, tosikka, tosikken, zinòsik, inotosikken, same as tummorrik. Patossik, same as patorrik. Tummositosik, and patositosik, same as tummorritorrik and patorritorrik.",和 tummorrik 相同,314
Tummot,"tsi: tat: tôtta, to let wind. Patot, to cause such to done. Tottat, foul wind.",讓風吹,314
Tummotto,"zinummotto, tatummotto, tottoa, tottoon zinótto, inotottoon, to forge, to beat any thing to powder. Patotto, pinatotto, papatotto, ipaitottoa, ipatotto, inipatotto, inoipatotto, to cause such to be done.",把東西磨成粉；打鐵,315
Tummotto,"tsi: tat: tottoa, tottoòn, tsinotto, inotottoon, the budding, or shooting forth of the fruit after the blossoms fall off.",發芽；果實在花落後發芽,315
Tumpa,"zinumpa, tatumpa, tuppa, tuppûan, zienpa, inotuppaan, to think, to reflect. Patuppa, pi, pa, ipatuppa, inipatuppa, inoipatuppa, to cause to to think. Tumpatuppa, intend. Tattuppa, thoughts. Maatattuppa, one who thinks.",思考、反思,315
Tumpas,"zinumpas, tattumpas, tuppasa, tuppasen, zienpas, inotuppasin, to tread with the foot on one side. Patuppas, pinatuppas, papatuppas, ipatuppasa, ipatuppas, inipatuppas, inoipatuppas, to cause such to be done. Tattuppus, nom. Tumpatuppas, indicative tumpas.",用單隻腳走踏,315
Tumpies,"zinumpies, tatumpies, tuppisa, tuppisen, zinupies, inotuppisen, same as tummagga. Patuppies, pi, pa, ipûtuppisa, ipatuppies, same as pataga.",與 tummagga 相同,315
Tumpoch,"zinumpoch, tattumpoch, ituppocha, ituppoch, inituppoch, inoituppoch, to fix in the ear rings: where to? tuppocha, tuppochan, zienpochan, inotuppochan. Patuppoch, pi, pa, ipatuppocha, ipatuppoch, inipatuppoch, inoipatuppoch, to cause such to be done. Tattuppock, ear-rings.",把耳環戴上,316
Tumpor,"tsi, ta, tupporra, tupporren, tsienpor, inotupporren, the hatching of birds. Pûtûppor, transiti. tatuppor, nom. a hatching.",鳥孵化,316
Tumpuk,"zinumpuk, tattumpuk, tuppukka, tuppukken, zienpuk, inotuppuken, to count, to reckon up any thing in the mind. Patuppuk, pinatuppuk, pa. ipatuppukka, ipatuppuk, &c.",數算、在心中認為,316
Tumrach,"zinumrach, tattumrach, tirracha, tirrachen, zinirrach, inotirrachen, the bursting of water through a dam. The escaping of a fish through a hole or rent in the net. The running out of paddy or such like article through a sack: the place where it leaks is tirrachan, zinirrachan, ino. &c. Patirrach, pi, pa, ipatirracha. &c.",水壩的水潰決,316
Tumsar,"tsinumsar, tattumsar, tsarren, tsiensar, inotsarren, to shine, to illumine. Pasar, pinazar, papazar, ipûzarra, ipazar, inipazar, inoipazar, to cause to shine. Tatsar, nom. appearance.",閃、發亮,316
Tumsar,"tsi: ta: tsarra, to stick, to stab. Tumsar o binnan, to stab a deer with a spear.",用茅刺鹿,317
Tumsik,"tsi: tat: tsika, tsiken, tsinick, inotsiken, to stain, to spot. Patsik, transit. Tatsik, a spot.",使有污漬、斑點,317
Tumtum,"zinumtum, tattumtum, tumtumma, tumtummen, zinumtam, inotumtummen, to fast, to deny the stomach its food. Patumtum, pinatumtum, papatumtum, ipatumtumma, ipatumtum, inipatumtum, inoipatumtnm, to cause such to be done.",酣暢,317
Tumso,"tsinumso, tatumso, tsoa, tsoan, tsiensoan, inotsoan, to assent by a nod. Patso, pinatso, papatso, ipatsoa, ipatso, inipatso, inoipatso, to cause such to be done. Tatso, a nod.",點頭贊成,317
Tuppach,"between: tuppach o don, between the houses: tuppach o ranna, amongst the hills. The verb neuter is matuppach, to be between two, and the active, Patuppach, from the root tuppach.",在中間,317
Tuppich,the stalk wherewith the fruit is fastened to the tree or plant.,把果實聯繫在樹或植物上的莖,317
Tuppo,"a troop of men or beasts, a generation, a principal reason.",人或野獸的軍隊,317
Tuppoch,"the hair on the skin of men or beasts, excepting the hair of the head, beard, or eye-brows. it is written dûppoch.",人或野獸皮膚上的毛，但不指頭髮、鬍子和眉毛,318
Tuppoos,"sugar. Tuppoos o bato, sugar candy.",糖,318
Turriturri,a fire-fly same as Taitai. The verb Maturriturri. Mataitai.,螢火蟲，和 Taitai 相同,318
Ummachol,"inummachol, aummachol, achòlla, achollen, inachol, inoachòllan, to lay any thing out of the way. Pûachol, pinûachol, papûachol, ipûacholla, ipûachol, inipaachol, inoipaachol, to cause to be laid aside.",把東西放離路,318
Ummadach,"inûmmadach, aûmmadach, adacha, adachen, inadachan, inoadachan,: what? iadach, iniadach, inoiadach, to hang up. Ummadach o tairien, to hang up beads; ummaadach o ballasau, to hang up a sword. Paadach, pinaadach, papaadach, ipaadach, inipaadach, inoipaadach, to do so to another, to cause to be done.",吊起來,318
Ummadok,"inummadok, aummadok, adokka, adokken, inadok, inoadokken, to pick and choose. Elli ohinûmmar o baûsje tapos ja assaban: inummadokchono kinummossi: the Dutch have not burnt down the whole village : they have picked out the disobedient. Paadok, pi, pa, ipûadokka, ipaadok. &c. to cause such to be done.",揀、選,318
Ummado,"inummado, aummado, addoa, addoan, inaddoan, inoaddoan, to dissuade. Paadde, pinaaddo, pa. ipaaddoa, ipaaddo, inipaaddo, inoipaaddo, to cause to dissuade. Ummoossó, idem.",勸阻,319
Ummalappo,"inummalappo, aummalappo, alappoa, alappoon, inalappo, inoalappoon, from which are derived alappoan, inalappoan, inoalappoon, to heave up, to lift up. Paalappo, pinaalappo, papaalappo, ipaalappoa, ipaalappo, inipaalappo, inoipaalappo, to cause to lift up.",舉起、升起,319
Ummao,"inum: aum: aoa, aoon, inao, inoaoon, the melting of salt: trans. pa-ao, melted salt, brine: ao-no-soa, brine for washing wounds.",鹽融化,319
Ummapar,"inummapar, aummapar, aparra, aparren, inapar, inoaparren (that out of which it is taken) aparran, inaparran, inoaparran, to take any thing out with the hand or fingers pinched close together. Ummapar o inochan, inai mallo: to take, food out of a dish. Ummapar o dassono, innai roboen, to take rice out of a bag. Ummapar o boono innai kallaman, to take out of a large pot, &c. Paapar, pi, pa, ipaaparra, ipaapar, inipaapar, inoipaapar, to cause such to be doue.",用雙手捏掐在一起的方式把東西拿出來,319
Ummapach,"inummapach, aummapach, apacha, apachan, inapachan, inoapachan, to climb, to climb up. Paapach, pinaapach, papaapach, ipaapacha, ipaapach, inipaapach, inoipaapach, to cause to climb.",攀爬；爬上去,320
Ummarras,"inummarras, aummarras, arrassa, arrasan, inarrasan, inoarrassan, to stride, to step over, to pass by. Paarras, pinaarras, papaarras, ipaarasa, ipaarras, inipaaras, inoipaarras, to cause such to be done.",邁步、經過,320
Ummaron,"inummaron, aummaron, aronna, aronnen, inaron, inoaronnen, to roll up. Paaron, pinaaron, papaaron, ipaaronna, ipaaron, inipaaron, inoipaaron, to cause to roll up. NB. The r is sometimes doubled.",捲起來,320
Ummatat,"inummatat, aummatat, atatta, atatten, inatat, inoatatten, to chew. Paatat, pinaatat, papaatat, ipaatatta, inipaatat, inoipaat, to cause to chew.",咀嚼,320
